1,1.863e-06
2,2.725e-06
3,1.3285e-05
4,3.4234e-05
1,1.843e-06
2,2.645e-06
3,1.072e-05
4,3.2971e-05
1,1.373e-06
2,1.753e-06
3,1.0009e-05
4,3.3593e-05
1,1.793e-06
2,2.574e-06
3,1.3305e-05
4,3.6859e-05
1,2.104e-06
2,2.565e-06
3,1.1912e-05
4,2.9765e-05
1,2.8563e-05
2,2.5317e-05
3,9.5358e-05
4,0.000362446
5,0.005480056
6,0.011991432
7,0.058483301
8,0.957467116
1,3.296e-06
2,5.019e-06
3,1.8173e-05
4,5.3089e-05
5,0.000476878
6,0.001449898
7,0.015384662
8,0.090367544
9,0.464521086
10,4.045081037
11,43.42257962
1,4.057e-06
2,6.041e-06
3,1.7612e-05
4,5.5143e-05
5,0.000255767
6,0.001525436
7,0.007123683
8,0.105136298
9,0.369830052
10,3.76071226
11,40.573555724
1,3.406e-06
2,5.58e-06
3,1.9206e-05
4,4.8821e-05
5,0.000232664
6,0.001754233
7,0.0232367
8,0.07708185
9,0.458751169
10,3.866248754
11,41.43532562
